LP,IAUNo,AdNo,Code,s,sub.date,shower name-designation,activity,LoSb,LoSe,LoS,Ra,De,dRa,dDe,Vg,LoR,S_LoR,LaR,theta,phi,Flags,a,q,e,peri,node,inc,N,Group,CG,Origin,Remarks,OTe,L-T,References
1563,1074,0,JAC,0,yyyy-mm-dd,July alpha-Camelopardalids              , annual ,       ,       ,127.2,84.9,72.7,       ,       ,43.2,87.68,320.48,49.3,114.52,146.44,       ,7.8,0.719,0.908,112.2,127.9,71.4,48,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1564,1075,0,AGP,0,yyyy-mm-dd,August gamma-Pegasids                   , annual ,       ,       ,130.2,2.8,12.8,       ,       ,61.5,7.71,237.51,10.62,146,250.76,       ,13.5,0.354,0.974,288.6,130.2,152.1,43,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1565,1076,0,APP,0,yyyy-mm-dd,August psi-Pegasids                     , annual ,       ,       ,140.4,0.6,22.6,       ,       ,56.6,9.94,229.54,20.41,135.48,240.17,       ,20.8,0.289,0.987,296.2,140.4,116.7,52,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1566,1077,0,PIC,0,yyyy-mm-dd,pi-Cassiopeids                          , annual ,       ,       ,152.9,5.5,48.4,       ,       ,52.5,28.3,235.4,41.36,128.16,212.82,       ,26,0.717,0.973,245.8,152.9,94.7,64,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1567,1078,0,SFO,0,yyyy-mm-dd,sigma-Fornacids                         , annual ,       ,       ,150.2,57.3,-29.2,       ,       ,54.2,45.5,255.3,-47.71,130.6,347,       ,49.6,0.959,0.981,26.6,330.2,99,64,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1568,1079,0,ANT,0,yyyy-mm-dd,August nu-Taurids                       , annual ,       ,       ,144.2,61.4,7.3,       ,       ,68.8,60.8,276.6,-13.29,165.19,25.95,       ,14.5,0.972,0.932,336.7,324.2,157.4,221,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1569,1080,0,ANE,0,yyyy-mm-dd,August nu-Eridanids                     , annual ,       ,       ,150.4,68.7,-1.8,       ,       ,65.8,66.67,276.27,-23.53,155.69,14.08,       ,10.3,0.977,0.904,338.1,330.4,139.3,581,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1570,1081,0,SUC,0,yyyy-mm-dd,September upsilon-Cetids                , annual ,       ,       ,164.3,31.2,-23.7,       ,       ,44.9,19.37,215.07,-33.88,118.49,309.37,       ,9.8,0.403,0.96,102.9,344.3,71.5,1551,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1571,1082,0,DSG,0,yyyy-mm-dd,delta-Sagittariids                      , annual ,       ,       ,66.1,277.3,-28.8,       ,       ,42.1,276.42,210.32,-5.52,120.17,276.39,       ,2.37,0.051,0.979,157.3,246.1,26.5,10,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1572,1083,0,ETC,0,yyyy-mm-dd,eta2-Coronae Australids                 , annual ,       ,       ,74.9,284.4,-43.4,       ,       ,42.8,281.12,206.22,-20.52,114.45,292.64,       ,11.2,0.229,0.981,125,254.9,43.7,75,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1573,1084,0,EPP,0,yyyy-mm-dd,epsilon-Pavonids                        , annual ,       ,       ,107.6,309,-72.2,       ,       ,29,287.87,180.27,-51.17,90.17,321.18,       ,24.3,0.819,0.967,52.7,287.6,37.6,29,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
