LP,IAUNo,AdNo,Code,s,sub.date,shower name-designation,activity,LoSb,LoSe,LoS,Ra,De,dRa,dDe,Vg,LoR,S_LoR,LaR,theta,phi,Flags,a,q,e,peri,node,inc,N,Group,CG,Origin,Remarks,OTe,L-T,References
562,233,1,OCC,1,1989-mm-dd,October Capricornids                    , annual ,       ,       ,203.8,315.69,-13.9,       ,       ,10.44,314.06,110.26,2.83,20.45,261.89,RR     ,4.264,0.987,0.768,190.8,204.02,0.79,     ,0,0,                                        ,"In Terentjeva 1989 Tab.1, the name was No 53 alpha-Cap                                                                                                ",P   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
564,234,0,EPC,0,1994-mm-dd,October epsilon-Piscids                 , annual ,       ,       ,188.9,4.04,8.24,       ,       ,21.7,6.99,178.09,5.95,88.1,264.04,R      ,2.467,0.603,0.756,265.7,188.92,4.49,5,0,0,                                        ,"In Porubcan & Gavajdova 1994, the shower name is Annual Andromedids                                                                                   ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1994P%26SS...42..151P' target=_blank>Porubcan & Gavajdova, 1994</A>"
566,235,0,LCY,0,1989-mm-dd,lambda-Cygnids                          , annual ,       ,       ,190.3,338.58,31.13,       ,       ,18.01,354.18,163.88,36.77,77.15,232.12,RR     ,2.585,0.828,0.68,234.4,190.3,17.79,     ,0,0,                                        ,"In Terentjeva 1989, Tab. 1 the name is Peg-Cep (a) No 49                                                                                              ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
567,236,0,GPS,0,1989-mm-dd,gamma-Piscids                           , annual ,       ,       ,229.8,17.65,9.13,       ,       ,13.46,19.75,149.95,1.52,59.97,268.24,RR     ,2.866,0.871,0.668,224.89,230.02,1.4,     ,0,0,                                        ,"In Terentjeva 1989, Tab. 1 the name is epsilon-Peg, No 60                                                                                             ",    ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
568,237,0,SSA,2,1966-mm-dd,sigma-Arietids                          ,1959/60 ,       ,       ,202.7,44.69,14.1,       ,       ,40.48,46.35,203.65,-2.74,113.62,272.99,RR     ,4.46,0.11,0.98,145,22.67,7.01,28,0,0,                                        ,"In Kascheyev ... 2967, p. 170, Tab. 4.8, shower no. 162, no name is given                                                                             ",R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1967SCoA...11..183K' target=_blank>Kashcheev & Lebedinets, 1967</A>"
572,240,0,DFV,0,1976-02-dd,Daytime psi-Virginids                   , annual ,       ,       ,202.3,193.55,-9.34,       ,       ,21.1,196.09,353.79,-3.26,96.2,86.72,R      ,1.513,0.525,0.653,258.1,22.23,2.61,22,0,0,                                        ,"In Sekanina 1976, the shower name is psi-Virginids (Tab. VI, p. 288)                                                                                  ",R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1976Icar...27..265S' target=_blank>Sekanina, 1976</A>"
575,242,0,XDR,1,1976-mm-dd,xi-Draconids                            , annual ,       ,       ,210.8,170.3,73.16,       ,       ,35.8,123.86,273.06,59.18,120.78,178.17,R      ,1.279,0.988,0.228,175.29,210.8,68.99,38,0,0,                                        ,"In Sekanina 1976, the shower name is A Draconids (Tab. VI, p. 289)                                                                                    ",R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1976Icar...27..265S' target=_blank>Sekanina, 1976</A>"
577,244,0,PAR,0,1989-mm-dd,psi1-Aurigids                           , annual ,       ,       ,219.3,93.97,49.99,       ,       ,56.71,92.85,233.56,26.59,136,229.88,RR     ,6.634,0.439,0.968,277.81,219.3,113,     ,0,0,                                        ,"In Terentjeva 1989 Tab.1, stream No 62                                                                                                                ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
579,246,0,AMO,1,23/08/2015,alpha-Monocerotids                      , annual ,238,240,239,116.8,0.9,0.97,-0.09,63,118.65,239.65,-19.91,144.23,305.64,  M   1,500,0.488,0.999,90.7,59.3,134.1,10,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
581,246,3,AMO,1,01/05/2023,alpha-Monocerotids                      , annual ,237.3,248.73,240.93,118.5,0.7,0.98,-0.15,62.1,120.47,239.54,-19.78,144.2,305.34,       ,19.6,0.472,0.976,93.3,60.9,134,40,0,0,                                        ,                                                                                                                                                      ,T   ,246AMO_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
582,248,0,IAR,0,1976-02-dd,November iota-Aurigids                  , annual ,       ,       ,222.3,76.32,33.23,       ,       ,34,78.4,216.1,10.34,125.42,257.27,R      ,1.076,0.085,0.921,336.29,222.31,30.5,25,0,0,                                        ,"In Sekanina paper, Tab. VI, p.289, the name is iota-Aurigids.                                                                                         ",R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1976Icar...27..265S' target=_blank>Sekanina, 1976</A>"
584,250,0,NOO,1,2008-mm-dd,November Orionids                       ,2002/06 ,230,253,245.5,90.2,15.5,0.74,-0.06,43.5,90.19,204.69,-7.94,114.44,278.73,       ,11.8,0.098,0.9917,144.1,65.1,26.6,1097,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
589,250,5,NOO,1,2010-mm-dd,November Orionids                       ,2002/08 ,225,256,246,90.5,15.3,0.761,-0.04,43.1,90.49,204.49,-8.14,114.22,278.93,       ,12.01,0.1066,0.991,142.37,66,26,1923,0,0,                                        ,in Brown et al. (2010) this shower is named Nov. omega-Orionids                                                                                       ,R   ,LookUp table file name,"6] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
590,250,6,NOO,1,23/08/2015,November Orionids                       , annual ,225,265,247,90.6,15.2,1.03,-0.01,42.5,90.59,203.59,-8.24,113.33,278.98,  M   1,8.36,0.116,0.99,140.4,67.6,24.4,369,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"7] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
591,250,8,NOO,1,01/05/2023,November Orionids                       , annual ,223.24,267.9,248.69,91.8,15.2,0.75,-0.05,42.7,91.76,203.07,-8.23,112.81,278.93,       ,21.2,0.124,0.994,139.2,68.7,24.1,480,0,0,                                        ,                                                                                                                                                      ,T   ,250NOO_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
592,251,0,IVI,0,1976-02-dd,Daytime iota-Virginids                  , annual ,       ,       ,224.3,210.05,-3.62,       ,       ,29,209.24,344.94,8.1,104.9,98.38,R      ,1.79,0.329,0.816,60.69,224.33,10.1,8,0,0,                                        ,"In Sekanina 1976, the shower name is iota-Virginids (Tab. VI, p. 290)                                                                                 ",R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1976Icar...27..265S' target=_blank>Sekanina, 1976</A>"
593,252,0,ALY,0,23/08/2015,alpha-Lyncids                           , annual ,266,274,272,140.4,39.8,1.13,-0.31,49.5,130.06,218.06,23.11,124.54,241.54,  M   1,6.78,0.213,0.969,306.4,272.2,84,3,0,0,                                        ,To low N=3 to be considered as an established shower                                                                                                  ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
595,253,0,CMI,0,2016-mm-dd,December Canis Minorids                 , annual ,243,265,252,102.4,14.5,1.02,-0.09,40.2,102.13,210.13,-8.42,119.77,279.71,  M   1,1.88,0.074,0.961,152.5,72.2,29.2,32,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..355J' target=_blank>Jenniskens et al., 2016</A>"
597,253,3,CMI,0,16/11/2022,December Canis Minorids                 , annual ,250.503,308.917,273.8,121.2,11.4,1,-0.19,39,120.92,207.12,-8.75,116.78,279.81,       ,2.086,0.107,0.949,146.3,93.8,23.1,183,0,0,                                        ,                                                                                                                                                      ,T   ,253_CMI.csv           ,"4) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
598,254,0,PHO,1,1973-mm-dd,Phoenicids                              ,1958,253.88,254.4,253.7,15.57,-44.87,       ,       ,11.7,351.17,97.47,-46.29,46.76,352.92,R      ,2.96,0.99,0.67,359.01,74.67,13,     ,0,0,D/1819 W1 (Blanpain) /2003 WY25         ,In Cook 1973 shower name is December Phoenicids                                                                                                       ,V   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A>"
599,254,1,PHO,1,16/11/2022,Phoenicids                              ,2019,230.47,233.658,232.2,6.7,-7.7,0.08,-0.54,10.9,3.07,130.87,-9.73,41.81,284.68,       ,3.243,0.946,0.708,26.6,52.2,2.7,9,0,0,                                        ,                                                                                                                                                      ,T   ,254_PHO.csv           ,"2) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
603,256,2,ORN,0,23/08/2015,Northern chi-Orionids                   , annual ,253,287,258,83.2,25.7,1.11,0.04,24.7,83.87,185.87,2.41,95.86,267.58,  M   1,2.09,0.473,0.778,280.8,255.9,2.2,37,14,2,2008 XM1                                ,"member of chi-Orionid Complex (014), part of #17/NTA                                                                                                  ",T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
604,256,4,ORN,0,16/11/2022,Northern chi-Orionids                   , annual ,240.083,290.708,267.9,97.4,25.2,1,-0.06,26.9,96.7,188.8,1.93,98.79,268.04,       ,2.196,0.413,0.812,287.3,267.9,2.4,401,14,0,                                        ,                                                                                                                                                      ,T   ,256_ORN.csv           ,"5) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
606,257,1,ORS,1,1964-mm-dd,Southern chi-Orionids                   ,1961,       ,       ,259.3,80.72,16.82,1.3,       ,21.5,81.07,181.77,-6.33,91.76,276.33,R      ,1.85,0.56,0.7,93.71,79.22,4.6,4,14,3,                                        ,"a,q from 1/a, e, in Tab. 4 radiant 60.12.2                                                                                                            ",R   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/1964AuJPh..17..205N' target=_blank>Nilsson, 1964</A>"
608,257,3,ORS,1,23/08/2015,Southern chi-Orionids                   , annual ,238,268,243,73,17.8,1.04,0.11,27.9,73.78,190.78,-4.69,100.74,274.77,  M   1,2.16,0.381,0.828,111.3,64.3,5.3,97,14,3,2010 LU108                              ,? Encke complex                                                                                                                                       ,T   ,LookUp table file name,"4] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
609,257,5,ORS,1,16/11/2022,Southern chi-Orionids                   , annual ,230.243,272.514,250.1,78.8,17.7,0.87,0.05,26.8,79.29,189.19,-5.32,99.15,275.39,       ,2.162,0.411,0.81,107.6,70.1,5.2,553,14,0,                                        ,                                                                                                                                                      ,T   ,257_ORS.csv           ,"6) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
610,258,0,DAR,0,1994-02-dd,December alpha-Aurigids                 , annual ,       ,       ,270.7,85.74,35.51,       ,       ,19.5,86.45,175.75,12.12,85.85,257.84,R      ,2.179,0.668,0.695,257.69,270.75,7.2,5,0,0,                                        ,"In Porubcan & Gavajdova 1994, the shower name is December Aurigids                                                                                    ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1994P%26SS...42..151P' target=_blank>Porubcan & Gavajdova, 1994</A>"
612,260,0,GTI,0,1994-02-dd,gamma-Triangulids                       , annual ,       ,       ,273.7,44.11,41.7,       ,       ,11.3,54.13,140.43,23.8,54.35,240.22,R      ,2.545,0.926,0.625,211.99,273.75,7.1,3,0,0,                                        ,"In Porubcan & Gavajdova 1994, the shower name is December beta-Perseids                                                                               ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1994P%26SS...42..151P' target=_blank>Porubcan & Gavajdova, 1994</A>"
613,261,0,DDC,0,1964-mm-dd,Daytime delta-Scorpiids                 ,1961,       ,       ,254.4,246.57,-26.26,       ,       ,25.3,249.04,354.64,-4.51,95.34,85.47,R      ,2.38,0.5,0.79,262.61,74.31,4,4,0,0,                                        ,"a,q from 1/a,e, in Tab. 4 radiant 61.6.9                                                                                                              ",R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1964AuJPh..17..205N' target=_blank>Nilsson, 1964</A>"
614,262,0,KLI,0,1964-mm-dd,Daytime kappa-Librids                   ,1961,       ,       ,258.8,231.32,-20.89,       ,       ,31.9,234.25,335.45,-2.12,114.53,87.67,R      ,1.35,0.19,0.86,221.11,78.75,8.4,3,0,0,                                        ,"a,q, from 1/a,e, in Tab. 4 radiant 60.12.6                                                                                                            ",R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1964AuJPh..17..205N' target=_blank>Nilsson, 1964</A>"
615,263,0,NAN,0,1989-mm-dd,nu-Andromedids                          , annual ,       ,       ,287,20.72,40.13,       ,       ,7.74,35.21,108.21,28.93,33.76,209.48,RR     ,1.904,0.98,0.484,188.59,287.05,6.2,     ,0,0,                                        ,"In Terentjeva 1989, Tab. 1 No 2, the name is theta-Cas                                                                                                ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
616,264,0,XCE,0,1989-mm-dd,xi-Cetids                               , annual ,       ,       ,286.3,37.66,8.11,       ,       ,7.74,37.95,111.65,-6.38,22.53,286.87,RR     ,1.986,0.978,0.508,7.81,106.01,1.2,     ,0,0,                                        ,"In Terentjeva 1989, Tab. 1 No 3, the name is xi2 Cet                                                                                                  ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
617,265,0,JGD,0,1989-mm-dd,January gamma-Delphinids                , annual ,       ,       ,289.7,311.57,18.09,       ,       ,13.98,320.02,30.32,34.6,65.45,128.63,RR     ,2.414,0.896,0.623,139.99,289.72,12.6,     ,0,0,                                        ,"In Terentjeva 1989, Tab. 1 No 2, the name is gamma-Delphinids                                                                                         ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
618,266,0,ACC,0,1994-02-dd,alpha-Cancrids                          , annual ,       ,       ,304.2,136.06,6.2,       ,       ,19.3,136.65,192.45,-10.1,102.25,280.33,R      ,1.167,0.484,0.583,112.61,124.16,7.2,3,0,0,                                        ,                                                                                                                                                      ,P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1994P%26SS...42..151P' target=_blank>Porubcan & Gavajdova, 1994</A>"
619,267,0,JNO,0,1989-mm-dd,January nu-Orionids                     , annual ,       ,       ,293.2,88.7,12,       ,       ,12,88.7,155.5,-11.43,66.02,282.53,RR     ,1.866,0.854,0.524,51.71,113.12,4.1,5,0,0,                                        ,"In Terentjeva 1989, Tab. 1 No 1, the name is mu-Ori                                                                                                   ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A> (Nr 1)"
623,271,0,MLY,0,1994-02-dd,March Lyncids                           , annual ,       ,       ,340.1,124.42,50.22,       ,       ,9.4,114.6,134.5,29.68,51.71,230.88,R      ,1.965,0.962,0.511,204.1,340.11,7.41,3,0,0,                                        ,"In Porubcan & Gavajdova 1994, the shower name is Lynxids                                                                                              ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1994P%26SS...42..151P' target=_blank>Porubcan & Gavajdova, 1994</A>"
624,272,0,ACO,0,1994-02-dd,April alpha-Comae Berenicids            , annual ,       ,       ,22.8,193.71,22.76,       ,       ,16.7,182.98,160.18,26.23,72.29,242.36,R      ,2.68,0.839,0.687,232.5,22.78,11.91,5,0,0,                                        ,"In Porubcan & Gavajdova 1994, the shower name is alpha-Coma Berenicids                                                                                ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1994P%26SS...42..151P' target=_blank>Porubcan & Gavajdova, 1994</A>"
635,281,6,OCT,1,22/12/2022,October Camelopardalids                 , annual ,191.25,193.58,192.53,167.9,78.6,       ,       ,45.9,114.3,281.77,61.99,117.37,173.81,  M    ,20.4,0.9907,0.9516,168.64,192.53,77.91,121,0,0,                                        ,                                                                                                                                                      ,T   ,0281_OCT.csv          ,"7) <A href='https://ui.adsabs.harvard.edu/abs/2023eMetN...8....1R' target=_blank>Roggemans, Segon and Vida, 2023</A>"
637,283,0,OPL,0,1989-mm-dd,pi-Leonids                              , annual ,       ,       ,218.1,146.66,7.88,       ,       ,5.81,146.2,288.1,-5.2,161.19,73.66,RR     ,0.756,0.51,0.324,189,38.03,4,     ,0,0,                                        ,                                                                                                                                                      ,P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
638,284,0,OMA,0,1989-mm-dd,Omicron-Ursae Majorids                  , annual ,       ,       ,229.6,116.33,69.94,       ,       ,9.39,103.06,233.46,47.69,122.74,208.45,RR     ,0.794,0.566,0.287,336.99,229.62,16.1,     ,0,0,                                        ,"In Terentjeva 1989, Tab. 1. No 64, the name is Cam-Lep (N)                                                                                            ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
640,286,0,FTA,0,23/08/2015,omega-Taurids                           , annual ,238,245,242,65.2,15.1,1.02,0.16,23.3,65.96,183.96,-6.29,93.93,276.31,  M   1,2.1,0.517,0.751,96.2,62.7,5.1,81,0,0,"2003 WP21?,2P/Encke                     ",#2/STA component                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
642,287,0,NER,0,1989-mm-dd,November epsilon-Eridanids              , annual ,       ,       ,240.8,52.61,-6.91,       ,       ,11.16,48.27,167.47,-25.1,78.67,295.64,RR     ,1.38,0.825,0.398,65.61,60.76,8.4,     ,0,0,                                        ,"In Terentjeva 1989, Tab. 1 No 2, the name is epsilon-Eri                                                                                              ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
643,288,0,DSA,0,1994-02-dd,Southern December delta-Arietids        , annual ,       ,       ,259.6,67.31,15.65,       ,       ,15.2,68.07,168.47,-6.07,78.54,276.2,R      ,1.901,0.758,0.602,67.01,79.47,2.8,4,0,0,                                        ,"In Porubcan & Gavajdova 1994, the shower name is aplha Taurids                                                                                        ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1994P%26SS...42..151P' target=_blank>Porubcan & Gavajdova, 1994</A>"
644,289,0,DNA,0,1989-mm-dd,Northern December delta-Arietids        , annual ,       ,       ,251.1,53,29,       ,       ,18.4,57.73,166.63,9.61,76.82,260.13,       ,1.826,0.766,0.56,247.3,251.1,4.2,     ,0,0,1990 HA?                                ,"In Terentjeva 1989, Tab. 1 No 2, the name is delta-Ari N                                                                                              ",P   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/1989JIMO...17..242T' target=_blank>Terentjeva, 1989</A>"
674,319,0,JLE,1,2008-mm-dd,January Leonids                         ,2002/06 ,280,284,282.5,148.3,23.9,0.66,-0.14,52.7,142.27,219.77,10.41,128.99,256.56,       ,6.3,0.055,0.9913,333.7,282,109.3,138,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
676,319,2,JLE,1,2010-mm-dd,January Leonids                         ,2002/08 ,279,287,282,148.2,23.7,0.7,-0.13,52.3,142.25,220.25,10.19,129.49,256.75,       ,5.34,0.0517,0.99,334.71,282,107.9,1160,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
678,319,4,JLE,1,23/08/2015,January Leonids                         , annual ,279,287,283,147.7,24.1,1.01,-0.34,51.4,141.67,218.67,10.41,127.92,256.76,  M   1,5.43,0.048,0.991,335.7,283.4,100.1,13,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"5] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
679,319,6,JLE,1,01/05/2023,January Leonids                         , annual ,281.07,286.68,282.24,147.8,23.7,0.69,-0.16,52.7,141.9,219.66,10.06,128.93,257.02,       ,7.41,0.051,0.993,334.6,282.2,106.8,14,0,0,                                        ,                                                                                                                                                      ,T   ,319JLE_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
680,320,0,OSE,1,2008-mm-dd,omega-Serpentids                        ,2002/06 ,271,279,275.5,242.7,0.5,0.76,0.11,38.9,240.54,325.04,21.19,122.3,115.32,       ,1.37,0.164,0.88,38.8,275.9,56.5,60,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
681,320,1,OSE,-3,23/08/2015,omega-Serpentids                        , annual ,       ,       ,278.76,252.3,-5.8,       ,       ,45,251.61,332.85,16.52,115.94,108.43,  M   1,15.7,0.151,0.99,45.4,278.75,50.3,2,0,0,                                        ,N=2; In Brown et al. 2008 this shower has OMS three letter code; in 2) erroneous parameters of this shower are given                                  ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
682,320,3,OSE,1,16/11/2022,omega-Serpentids                        , annual ,274.001,279.146,276.3,251.7,-5.2,0.63,-0.09,43.3,250.91,334.61,17.03,114.2,108.73,       ,10.074,0.176,0.982,48.9,276.3,45.2,8,0,0,                                        ,                                                                                                                                                      ,T   ,320_OSE.csv           ,"4) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
683,321,0,TCB,1,2008-mm-dd,theta-Coronae Borealids                 ,2002/06 ,293,303,296.5,232.3,35.8,0.7,-0.06,38.66,215.68,279.18,52.37,127.07,172.99,       ,1.108,0.924,0.1662,124.9,296.5,77,1123,332,2,                                        ,member of Bootid-Coronae Borealid Complex (332)                                                                                                       ,R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
684,321,1,TCB,1,2010-mm-dd,theta-Coronae Borealids                 ,2002/08 ,287,304,296,233.6,34.4,0.3,0.16,37.7,218.15,282.15,51.49,127.49,170.49,       ,1.04,0.8601,0.172,98.2,296,76,3560,332,2,                                        ,member of Bootid-Coronae Borealid Complex (332)                                                                                                       ,R   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
685,322,0,LBO,1,2008-mm-dd,lambda-Bootids                          ,2002/06 ,285,297,295.5,219.6,43.2,0.88,-0.69,41.75,195.33,259.83,54.38,124.98,187.21,       ,1.49,0.956,0.3579,206.6,295.4,79.3,354,332,3,                                        ,member of Bootid-Coronae Borealid Complex (332)                                                                                                       ,R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
686,322,1,LBO,1,2010-mm-dd,lambda-Bootids                          ,2002/08 ,280,297,296,221.5,42.4,1.04,-0.76,40.7,198.09,262.09,54.42,125.19,185.62,       ,1.36,0.9647,0.291,203.9,296,78.3,2743,332,3,                                        ,member of Bootid-Coronae Borealid Complex (332)                                                                                                       ,R   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
687,323,0,XCB,1,2008-mm-dd,xi-Coronae Borealids                    ,2002/06 ,291,303,294.5,244.8,31.1,0.69,-0.11,44.25,234.19,299.69,51.45,122.77,158.46,       ,2.34,0.817,0.6509,124.7,294.5,79.6,185,332,4,                                        ,member of Bootid-Coronae Borealid Complex (332)                                                                                                       ,R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
689,323,2,XCB,1,2010-mm-dd,xi-Coronae Borealids                    ,2002/08 ,287,304,295,247,30.3,0.39,0.11,44.8,237.45,302.45,51.17,121.94,156.64,       ,2.84,0.8007,0.718,123.7,295,79.3,2621,332,4,                                        ,member of Bootid-Coronae Borealid Complex (332)                                                                                                       ,R   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A>"
691,323,4,XCB,1,23/08/2015,xi-Coronae Borealids                    , annual ,293,300,296,250.9,29.7,0.7,-0.13,45.1,242.92,306.92,51.36,119.95,154.35,  M   1,4.25,0.784,0.812,122.7,296.1,78,26,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"5] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
692,323,6,XCB,1,16/11/2022,xi-Coronae Borealids                    , annual ,289.265,299.974,294.3,249.5,30,0.64,-0.2,45.9,240.92,306.62,51.39,120.06,154.53,       ,5.207,0.789,0.848,124.7,294.3,78.5,44,0,0,                                        ,                                                                                                                                                      ,T   ,323_XCB.csv           ,"17) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
693,324,0,EPR,1,2008-mm-dd,epsilon-Perseids                        , annual ,92,107,95.5,58.2,37.9,0.78,0.15,44.8,64.19,328.69,17.27,119.75,109.99,       ,4.55,0.13,0.9714,39.7,96,63,203,0,0,                                        ,                                                                                                                                                      ,R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
694,324,1,EPR,1,23/08/2015,epsilon-Perseids                        , annual ,86,91,88,53.8,37.8,1.17,0.23,43.8,60.62,332.62,17.98,115.94,110.08,  M   1,9.05,0.167,0.982,46.8,87.9,53,4,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
695,325,0,DLT,1,2008-mm-dd,Daytime lambda-Taurids                  , annual ,70,98,85.5,56.7,11.5,0.82,0.27,36.4,57.07,331.57,-8.21,118.11,80.68,       ,1.57,0.104,0.9337,210.8,265.5,23.2,406,0,0,                                        ,"In the original paper node=1.7, it should be 265.5                                                                                                    ",R   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A>"
