Last Update: 2024-10-04 22:10 UTC
            Object         |    Diameter    |             VI Max                                   |          VIs                  |
 Num/des.       Name       |   m  |   *=Y   |      Date/Time   |  IP max  | PS max |TS  | Vel km/s | Years     | IP cum   | PS cum |
AAAAAAAAA AAAAAAAAAAAAAAAA | NNNN |    A    | YYYY-MM-DD HH:MM | EEEEEEEE | NNN.NN | NN |  NNN.NN  | YYYY-YYYY | EEEEEEEE | NNN.NN |
2012MF7                    |   15 |    *    | 2046-06-21 21:10 |  1.37E-4 |  -4.49 |  0 |   14.16  | 2046-2096 |  1.63E-4 |  -4.44 |
2017YM1                    |   30 |    *    | 2091-12-16 12:46 |  5.40E-5 |  -4.50 |  0 |   15.74  | 2048-2110 |  7.45E-5 |  -4.36 |
2023TB2                    |   60 |    *    | 2116-09-01 06:11 |  1.85E-5 |  -4.50 |  0 |   13.11  | 2110-2119 |  2.40E-5 |  -4.39 |
2017SF20                   |    7 |    *    | 2034-09-26 12:41 |  3.33E-4 |  -4.52 |  0 |   15.30  | 2034-2034 |  3.33E-4 |  -4.52 |
2008CC71                   |   40 |    *    | 2066-02-27 12:17 |  2.68E-5 |  -4.54 |  0 |   13.81  | 2034-2071 |  4.24E-5 |  -4.19 |
2023SE2                    |   26 |    *    | 2049-09-25 23:42 |  1.15E-5 |  -4.55 |  0 |   27.12  | 2049-2055 |  1.75E-5 |  -4.38 |
2010GM23                   |   40 |    *    | 2105-04-15 03:57 |  2.59E-5 |  -4.59 |  0 |   17.48  | 2087-2122 |  9.56E-5 |  -4.03 |
2021TT1                    |   20 |    *    | 2048-10-09 17:15 |  3.67E-5 |  -4.59 |  0 |   20.45  | 2048-2048 |  3.67E-5 |  -4.59 |
2000SB45                   |   40 |    *    | 2084-10-08 05:02 |  1.99E-5 |  -4.60 |  0 |   13.49  | 2074-2113 |  1.26E-4 |  -3.82 |
2016GU2                    |   60 |    *    | 2113-04-01 22:08 |  3.56E-6 |  -4.60 |  0 |   40.73  | 2113-2113 |  3.68E-6 |  -4.58 |
2022WW11                   |   16 |    *    | 2050-11-29 04:37 |  9.56E-5 |  -4.60 |  0 |   17.46  | 2049-2068 |  9.70E-5 |  -4.59 |
2017FO63                   |   70 |    *    | 2097-11-13 18:29 |  2.26E-6 |  -4.61 |  0 |   31.34  | 2097-2108 |  2.27E-6 |  -4.61 |
2012HG2                    |   14 |    *    | 2071-02-10 04:07 |  3.55E-4 |  -4.61 |  0 |   11.66  | 2052-2122 |  1.38E-3 |  -4.02 |
2005ED224                  |   50 |    *    | 2030-03-11 04:40 |  1.81E-7 |  -4.61 |  0 |   29.11  | 2028-2064 |  5.59E-7 |  -4.53 |
2022WF15                   |   11 |    *    | 2033-11-28 14:34 |  9.51E-5 |  -4.62 |  0 |   16.56  | 2030-2033 |  9.52E-5 |  -4.62 |
2014WA201                  |   15 |    *    | 2075-11-16 03:22 |  1.85E-4 |  -4.63 |  0 |   16.09  | 2075-2082 |  1.87E-4 |  -4.63 |
2008HJ                     |   25 |    *    | 2081-05-02 12:04 |  7.52E-5 |  -4.65 |  0 |   13.48  | 2077-2121 |  2.57E-4 |  -4.21 |
2021RB6                    |    9 |    *    | 2080-09-09 19:38 |  7.85E-4 |  -4.67 |  0 |   14.50  | 2075-2117 |  8.51E-4 |  -4.64 |
2019TU                     |   23 |    *    | 2099-01-27 20:48 |  1.01E-4 |  -4.69 |  0 |   14.81  | 2094-2122 |  1.04E-4 |  -4.68 |
2017LD                     |   11 |    *    | 2066-06-10 07:30 |  4.59E-4 |  -4.69 |  0 |   12.05  | 2053-2122 |  2.34E-3 |  -4.13 |
2012BA77                   |   25 |    *    | 2025-10-10 01:46 |  2.34E-6 |  -4.70 |  0 |   16.76  | 2025-2088 |  2.47E-5 |  -4.48 |
